AirlineId,Name,HotlineNumber,IcaoCode,Callsign
745718ab-d228-4393-92b1-63a42107c991,Indian Air Force,,IFC,INDIAN AIRFORCE
0b9196d0-9159-4cf7-946f-51e047c1cf65,Qatar Executive,,QQE,
a4836ad8-d60a-45e1-8136-3fc615b4e221,Delta Air Lines,,DAL,DELTA
cbb703c1-418a-46b3-98ce-fcc70236d2c3,Starspeed,,SSP,STARSPEED
899a7606-23cd-427c-b775-9cccc005b1e7,United States Air Force,,AIO,AIR CHIEF
26b189d2-035a-4d91-88ed-ff2e98913f85,Corporate Airlink,,COO,CORPORATE
9b8c8f47-203d-497b-98e9-4b5632482182,Virgin Australia,,VOZ,VELOCITY
31851992-a313-4eb9-a5b6-bc81372d9d2e,Federal Express,,FDX,FEDEX
ae9a05ac-797f-46ee-bced-102304fd5504,Tap Portugal,,TAP,AIR PORTUGAL
63404deb-1f42-42b9-aba7-a13a4258ba3a,Jet Aviation Business Jets,,BZF,BIZFLEET
a2a0ce08-c3fb-42f4-852d-7b47dc7b89c9,Air France,,AFR,AIRFRANS
8ddd983a-9527-44af-9bf9-333805b71f4a,Aegean Airlines,,AEE,AEGEAN
30f2fb9d-8b44-4b59-b1b4-e0f1fa90a424,Capital Airlines,,CPD,CAPITAL DELTA
0bb004ff-e144-4913-b34c-4c1715e64ab2,Norwegian Air Shuttle A.s. T/a Norwegian - Norway,,NAX,NOR SHUTTLE
afadfd62-f3fe-4b2a-9ead-2ae916a68923,Eagle Air Iceland,,FEI,ARCTIC EAGLE
32a003be-03df-45f1-85c6-990d895fdcd9,Qantas,,QFA,QANTAS
2a4c3cbb-5fad-4ad4-bec6-809f48c0753e,Ameriflight,,AMF,AMFLIGHT
c46e4de5-1d2e-411e-894c-1eb340ed6230,Massachusetts Institute Of Technology,,MTH,RESEARCH
bc26b99f-ad5d-465b-bd34-ff5c03c3a4e7,Lucky Air,,LKE,LUCKY AIR
69c8a790-6bdd-4ad7-b62c-8210a41bb6f5,Blue Air,,JOR,BLUE TRANSPORT
48416efd-a572-4b4a-9c05-1b96e5ef59f4,Army Air Corps,,AAC,ARMYAIR
abf10739-199e-4a16-8e84-8246ef3f8149,Air Canada,,ACA,AIR CANADA
2a26aa5a-4eee-4d24-b6fc-0b441f13a0e3,Royal Air Force,,SHF,VORTEX
250fac86-6343-4318-b05b-c04ee7a41870,Egyptair,,MSR,EGYPTAIR
42ebf6a3-d57c-47ef-9a78-911f9515cd4b,China Express Airlines,,HXA,CHINA EXPRESS
8309b35b-9557-4786-ab5c-f630bedf03d3,Royal Australian Air Force,,ASY,AUSSIE
d06bb86f-b8d7-4def-82c8-038c644962aa,Nordwind Airlines,,NWS,NORDLAND
91652c09-e31f-4006-b655-09d04300b7ae,Egyptian Air Force,,EGY,
170532f9-7878-4762-aac6-abcd6e114794,United States Department Of Agriculture,,AGR,AGRICULTURE
96b8f0af-3e90-49e0-b152-c4e5243ab9f8,Kurzemes Avio,,KZA,
28257f20-a7c2-4f30-b416-28884faf823e,Ryanair,,RYR,RYANAIR
001103fa-1734-4bf9-ad8b-f05d6f158822,German Air Force,,GAF,GERMAN AIR FORCE
85acbbec-626e-42ce-87ea-08ca25180e0a,Valljet,,VLJ,
685ce131-64e1-4a2f-b4e9-e54e3fb6b1eb,Neos,,NOS,MOONFLOWER
f471db6f-0c05-41b6-8d1d-c360071a31b5,Tarom,,ROT,TAROM
114544f3-83fb-4d10-931c-7d9d5835f7d9,American Airlines,,AAL,AMERICAN
4f895a94-d0a5-48b7-85d4-a59d32578ddc,Southwest Airlines,,SWA,SOUTHWEST
3b843224-199d-48f4-810d-b0ac3f1cd05c,China Southern Airlines,,CSN,CHINA SOUTHERN
8f100e92-84a2-4dce-bca9-208186a3fedb,France Marine Nationale,,FNY,FRENCH NAVY
75175691-f2e2-4ee4-a75d-4bd8d53a8368,Boeing,,BOE,BOEING
f0fa41c1-ef90-4905-8423-b9b70352d05d,Flightworks,,KDZ,KUDZU
2142f279-7799-4cfb-b859-fe95d61c1cfd,J-air,,JLJ,J AIR
d047d889-3fa5-47f6-b815-b1f55fde7c83,Royal Netherlands Air Force,,NAF,NETHERLANDS AIR FORCE
ed6048ef-1f52-42db-bd2c-1c89cd31bb8b,Binair,,BID,BINAIR
b0e70c4c-0318-4d50-8583-9411d2e9f5f3,Spanish Air Force,,AME,AIRMIL
4af491b9-2fc8-4d06-99e6-cd1e83fee388,Jet Air,,JEA,JETA
ab973df8-61a1-4991-9388-182a2c0a295f,Blue Dart Aviation,,BDA,BLUE DART
2374c26e-fd8f-47dc-88c4-e096c32c5e94,Aerotaxi,,ITE,AEROTAXI
cf46a786-9638-4f43-a455-ebee5005fd35,Sichuan Airlines,,CSC,SI CHUAN
76e76c88-359a-4a0c-94ee-fb072de7c1be,United Parcel Service,,UPS,UPS
f499d163-f2a7-4f44-97f1-a76b716a33fa,German Army,,GAM,GERMAN ARMY
1217d965-dfcc-4151-8288-0aba91eaa221,Flight Options,,OPT,OPTIONS
e2d4f30e-cad2-4299-bbde-5fa49b12af8a,Bombardier,,BFO,BOMBARDIER
871067fd-1b3e-4046-b25f-9fd7d1053148,Eurowings,,EWG,EUROWINGS
373637fb-00c6-4898-800d-47eaa562c6fb,Czech Air Force,,CEF,CZECH AIR FORCE
1a4bc4b3-f21e-4500-aefc-b4d20d282b67,Dassault Aviation,,DAB,
dcd282cf-2ade-432d-aa37-9f32c628b9c9,Royal Navy,,NVY,NAVY
75066917-fb0d-40c4-afee-53f8f134a2fc,Syncrude Canada,,SYN,SYNCRUDE
b3676e83-7901-445e-9c44-827b6e8d706e,Hop!,,HOP,AIR HOP
fa2f9cff-29f8-4c1b-96d0-f4db2fbbfa80,Royal Saudi Air Force,,RSF,ARSAF
3d69d8d6-7f2f-43d3-92cb-d41333043027,Safair,,SFR,CARGO
5d5324f7-5dd6-499b-ba10-ffd8862bdc08,Sky Aviation,,SSY,SIERRA SKY
93e4d461-757c-461f-bca4-ea89c9928cf3,Journey Aviation,,JNY,UNIJET-ROCKBAND
a8cb3dd2-f0aa-4d6f-8917-669c2012b513,Allegiant Air,,AAY,ALLEGIANT
4832ac6f-d94b-4cd6-9c1e-376915033dfa,Sirius-aero,,CIG,SIRIUS AERO
bcc98088-8ef4-4948-9b84-ed0260ddc99f,Embry-riddle Aeronautical University,,XSL,SATSLAB
91aefeb3-f0f1-436c-a0a6-1e6116ea2191,Republic Airlines,,RPA,BRICKYARD
828a1ea0-0944-4558-bccb-563a06239479,Gulfstream Aerospace,,GLF,GULFSTREAM TEST
813bd7dc-ed1d-4f90-a311-2288a18adf09,Air Europa,,AEA,EUROPA
1dfdff36-3cfc-4dfd-a4ba-15525af1457d,Air Transport Service,,ATS,
a7f61a4e-b914-4bad-97cb-e060221ac287,Jazeera Airways,,JZR,JAZEERA
e55c4a29-7122-41e7-b1a4-11f23783df71,Swiss International Air Lines,,SWR,SWISS
dd6842b0-fa7b-4798-9554-1ee4a03f3472,Israeli Air Force,,IAF,
4f5d163d-c14b-486e-9e2a-0fce2c570e1e,United Express,,SKW,SKYWEST
57be3e61-f276-417b-b901-fb54c2b5cda9,Rossiya,,SDM,RUSSIA
4afdb1bc-0662-4f00-ab7a-7f57b7a7701b,Columbia Helicopters,,WCO,COLUMBIA HELI
0d5043c9-d79c-4907-a0d7-e8c4592907cd,United Airlines,,UAL,UNITED
e26cb9ed-77c5-43f8-b5ac-ae9314620075,Dhl Air,,DHK,WORLD EXPRESS
d3f527ec-1eb0-489b-bc8f-98497f70a517,North-wright Airways,,NWL,NORTHWRIGHT
36f883ab-65d8-402c-a5d4-723e3f7ee8ba,Egyptair Cargo,,MSX,EGYPTAIR CARGO
3495a95e-0c6e-4bc5-bfc8-12fb332405cb,Frontier Airlines,,FFT,FRONTIER FLIGHT
8ae1a175-e207-4c4b-aad6-c6e3bfcdb979,South African Airways,,SAA,SPRINGBOK
cedb4949-6a33-403a-b041-db8551a64b77,Turkmenistan Airlines,,TUA,TURKMENISTAN
7fce4f79-f3bd-48f2-ae98-eccc5970afc5,Vivacolombia,,VVC,VivaColombia
6a36cf32-7982-415b-ab5a-ee5c6c9dc739,Alfa Air,,AFA,BLUE ALFA
21c08bc0-2b0c-4960-944d-c03e5ac07708,Royal Air Maroc,,RAM,ROYALAIR MAROC
6960fd30-f6cd-4311-bae4-0cb610b67e0e,Volaris,,VOI,VOLARIS
32dd7366-c81c-4a3e-b87b-34b59ed37ef8,Keystone Aerial Surveys,,FTP,FOOTPRINT
240f6ac6-6862-4a5a-aab4-c3a408ae8246,Bristow Helicopters,,BHL,BRISTOW
81edb95c-c645-4e0c-a4b6-c4dafe3ee5e7,Skywest Airlines,,OZW,OZWEST
c27eea3e-a9ae-478d-8294-d6413714fa83,U.s. Transportation Command - United States Of America,,CMB,OMNI-EXPRESS
3529fb4e-8467-462c-873d-7ebb620d62a4,Air Senegal International,,SZN,AIR SENEGAL
6329d604-8829-48ba-9de9-dbbef89e8f2f,Air Transport International,,ATN,AIR TRANSPORT
0d921dfe-9525-4065-81dc-52bfdb1978be,Southern Seaplane,,SSC,SOUTHERN SKIES
b674cf0d-48cf-4d8c-b661-022f13fcbdce,Mediterranean Air Freight,,MDF,MED-FREIGHT
754faafc-7149-4d17-9eec-6738b427a0ff,American Eagle Airlines,,EGF,EAGLE FLIGHT
6e9a1872-547c-4a58-8a05-611f40bcd871,Air Corsica,,CCM,CORSICA
d1b4cb1f-cc18-456d-b142-989aa902a554,Center-south,,CTS,CENTER-SOUTH
0e5d5db7-e7fb-49fe-9d15-0023ce93892d,Lufthansa,,DLH,LUFTHANSA
45d9ad46-bf09-47c6-81f5-61d72a33d255,Blue Sky Aviation,,BSM,
e42aff75-0f6e-43cc-b5ff-e6b3757c51ba,China Postal Airlines,,CYZ,CHINA POST
fa911351-041f-4738-a25a-973d7b6ea937,Korean Air,,KAL,KOREANAIR
4510248d-4177-4540-bd64-7465a0f9cc8f,Air Hong Kong,,AHK,AIR HONG KONG
a0a31a9d-6a33-4308-8b9f-8a459b5b5967,Kalitta Air,,CKS,CONNIE
768cf5b9-e5f0-413e-ad19-b91ff2ff967b,Bell Helicopter Textron,,TXB,TEXTRON
bedc452d-104b-4868-a8b9-24ae6010d302,Finnair,,FIN,FINNAIR
cb07f9f9-1bf9-47cf-bc29-74a7f6de66bc,Pskovavia,,PSW,PSKOVAVIA
ae683d90-c67f-437d-9b4b-438013234e8a,British Airways,,XMS,SANTA
7bd0c9fe-fc6c-4fe4-b5bc-23d0bb4a81d1,Icelandair,,ICE,ICEAIR
9ed946f3-782a-45bd-80d2-bf044f804b00,Aero Union,,TNO,AEROUNION
d8d71af8-6f77-4cff-abfc-47a8c941a74a,Himalaya Airlines,,HIM,HIM
14d29363-3602-4105-8390-f823a9a0a4d8,Avior Airlines,,ROI,AVIOR
78243f60-ef71-4ef5-aa35-1d9d45bd9688,Air Alsie,,MMD,MERMAID
4bd51583-4964-4bea-b6cc-dcdbb29742b2,Air-glaciers Sa,,AGV,AIR GLACIERS
dc9f15cc-1ab8-4599-b26e-e22b8db43faf,U.s. Navy Reserve Logistic Air Forces,,CNV,CONVOY
2275d562-d08e-4d2a-b899-2a716c13c9e1,Snunit Aviation,,SNU,
14692081-b876-4aeb-bca3-3f92e107db5d,Air Creebec,,CRQ,CREE
75c9b716-ebc8-4eca-a6fa-8731dc3a53ba,Force Aerienne Francaise,,FAF,FRENCH AIR FORCE
e08d92ff-4a95-487d-9800-fad206117210,Temsco Helicopters,,TMS,TEMSCO
06d2880d-ff35-4844-a610-26d394e3666d,Mhs Aviation Gmbh,,MHV,SNOWCAP
0b6e1b6f-82af-4e89-bbe2-57bd37aafc7f,Easyjet,,EZY,EASY
60ec7dfb-04ce-44e9-910e-b907f78c70c3,Aviation Legere De L'armee De Terre,,FMY,FRENCH ARMY
d5e3510e-0794-4b8e-9ccf-62460b973b08,Air Atlanta Icelandic,,ABD,ATLANTA
05f545e0-9448-4908-96a3-e342e0873a38,Aeroflot Russian Airlines,,AFL,AEROFLOT
6df2decc-a78d-461c-927b-4ca909bf80bd,Azimuth,,AZO,
33f3f0ac-70fb-4fa4-81ac-54ccdbafe597,Southern Cross Aviation,,SXA,FERRY
993735ce-4519-4efe-ac9d-14cebc85cb9c,Silverhawk Aviation,,SLH,SILVERHAWK
39fa7b91-f15d-4666-8d1a-6bc920c3ad78,Sunset Aviation,,VXN,VIXEN
b83a0b9d-9ec0-4d33-969e-c644c3a0f313,Singapore Airlines,,SIA,SINGAPORE
93d240a2-9497-4474-bec1-5b7206fb3ce9,Atlas Air,,GTI,GIANT
2c2e73b5-3379-4504-8f3c-fe2e6b4a2fb6,Blue Chip Jet,,VOL,BLUE SPEED
e76e3e9e-3ee3-4b38-9c59-fc4079088ef0,Brussels Airlines,,BEL,BEE-LINE
fae49895-283b-4683-b374-6dda3bb2a59b,Bighorn Airways,,BHR,BIGHORN AIR
349c260c-ac64-4adf-8611-c1cd65dd8ebf,Air Mauritius,,MAU,AIRMAURITIUS
4dea21cf-4a1a-4453-b15f-099b3b27396e,Royal Air Freight,,RAX,AIR ROYAL
65de7541-4589-4fc1-9be0-10a654f3290c,Jetblue Airways,,JBU,JETBLUE
a47f93f2-044b-4c53-935d-19b27e5e8382,Lufthansa Cargo,,GEC,LUFTHANSA CARGO
3d838e02-99bb-4d4f-b878-3ee6b53749d2,Lion Air Services,,WGT,WORLDGATE
8a33d664-1cb6-43ed-addd-eeedc8717543,Euro-asia Air,,EAK,EAKAZ
eb63d0ce-0e93-4df1-ac31-677de86161cc,Cougar Helicopters,,CHI,COUGAR
ead9e05a-cba6-4994-a719-bb4593b7599e,Buffalo Airways,,BVA,BUFFALO AIR
db9cf5bd-7f21-4306-80b7-1d00e4882807,Air Nippon Network Co. Ltd.,,AKX,ALFA WING
9f6d3aa5-3758-451e-a569-b417a4d14d84,Eva Air,,EVA,EVA
0df6ba13-4d72-475f-a62e-17388dae2b2e,Royal Malaysian Air Force,,RMF,ANGKASA
8cf57634-f03f-4423-94bf-fde8ea8b3959,Benair,,HAX,SCOOP
6b8fc812-5740-4559-87d5-f4e5ecb6a88d,Qatar Airways,,QTR,QATARI
d8fee9f9-dbbc-4ef3-b252-e7dbce6cc5ef,Klm Cityhopper,,KLC,KLM
ce2b1246-7273-41d0-9fd7-3a6b90014749,Kalitta Charters,,KFS,KALITTA
b73c1b44-1f5e-42ec-a780-4241a3a638db,Air Mobility Command,,RCH,REACH
e31da7c1-2b92-48e2-a15d-1dbae680d856,Utair Aviation,,UTA,UTAIR
a61ebb33-0534-4af7-a81a-dd5cab444d8f,Kenn Borek Air,,KBA,BOREK AIR
b8f5336a-bf4b-4262-ac25-a5348d3d72f9,Panh,,PNH,KUBAN LIK
e08bcf46-e8fc-421b-9774-d70fac5d37a8,Norwegian Air Sweden,,NSW,
6660a028-066a-4eaa-8a83-5feeffef1824,Petroleum Helicopters,,PHM,PETROLEUM
